"NAME","CASE","HOSP","DEATH","Cleaders","REG1","REG","C10","RCASE","RHOSP","RDEATH"
"Adams",936,65,13,"OH","Appalachia","South East",28550,3278.4588441331,227.670753064799,45.5341506129597
"Allen",5938,442,98,"OH","Metro","North West",106331,5584.44856156718,415.683102764011,92.1650318345544
"Ashland",1421,113,33,"OH","Rural","North East",53139,2674.11882045202,212.649842864939,62.1012815446282
"Ashtabula",2800,201,57,"OH","N Appalachia","North East",101497,2758.70222765205,198.035409913593,56.159295348631
"Athens",2301,94,4,"CL","Appalachia","South East",64757,3553.28381487716,145.158052411322,6.1769384004818
"Auglaize",2728,180,42,"OH","Suburban","West",45949,5937.01712768504,391.738666782737,91.4056889159721
"Belmont",2087,104,30,"CL","N Appalachia","South East",70400,2964.48863636364,147.727272727273,42.6136363636364
"Brown",1360,45,5,"OH","Appalachia","South West",44846,3032.60045489007,100.343397404451,11.1492663782723
"Butler",18261,695,160,"OH","Metro","South West",368130,4960.47591883302,188.792002825089,43.4629071252003
"Carroll",656,43,12,"OH","N Appalachia","South East",28836,2274.9341101401,149.119156609793,41.6146483562214
"Champaign",1285,81,8,"OH","Rural","West",40097,3204.72853330673,202.010125445794,19.9516173279797
"Clark",6289,267,144,"OH","Suburban","West",138333,4546.27601512293,193.012513283165,104.096636377437
"Clermont",7484,384,56,"OH","Appalachia","South West",197363,3791.99748686431,194.56534406145,28.3741126756282
"Clinton",1323,93,19,"OH","Rural","West",42040,3147.00285442436,221.217887725975,45.1950523311132
"Columbiana",4346,331,104,"OH","N Appalachia","North East",107841,4030.0071401415,306.93335558832,96.4382748676292
"Coshocton",1062,110,15,"OH","N Appalachia","South East",36901,2877.97078669955,298.094902577166,40.6493048968863
"Crawford",1658,157,20,"OH","Rural","North West",43784,3786.771423351,358.578476155673,45.6787867714234
"Cuyahoga",45393,3504,783,"OH","Metro","North East",1280122,3545.99014781404,273.723910689762,61.1660451113253
"Darke",2973,188,63,"OH","Rural","West",52959,5613.77669517929,354.991597273362,118.959950150116
"Defiance",1792,151,40,"OH","Rural","North West",39037,4590.51668929477,386.812511207316,102.466890386044
"Delaware",6953,133,41,"OH","Suburban","Central",174214,3991.06845603683,76.3428886312237,23.5342739389487
"Erie",2802,287,70,"OH","Rural","North East",77079,3635.23138598062,372.345256165752,90.8159161379883
"Fairfield",6612,338,67,"CL","Suburban","Central",146156,4523.9333315088,231.259749856318,45.8414297052464
"Fayette",1117,110,20,"OH","Rural","West",29030,3847.74371339993,378.918360316914,68.8942473303479
"Franklin",59102,2735,680,"OH","Metro","Central",1163414,5080.04889059269,235.083985580369,58.4486691753752
"Fulton",1691,106,31,"OH","Suburban","North West",42698,3960.37285118741,248.255187596609,72.6029322216497
"Gallia",1034,72,15,"CL","Appalachia","South East",30934,3342.60037499192,232.75360444818,48.4903342600375
"Geauga",2677,209,51,"OH","Suburban","North East",93389,2866.50462045851,223.795093640579,54.6102860079881
"Greene",6538,358,81,"OH","Suburban","West",161573,4046.46815990295,221.57167348505,50.1321384142152
"Guernsey",1250,92,15,"CL","N Appalachia","South East",40087,3118.21787611944,229.500835682391,37.4186145134333
"Hamilton",36260,1724,382,"OH","Metro","South West",802374,4519.08960160723,214.862395840344,47.6087211200762
"Hancock",3031,213,53,"OH","Rural","North West",74782,4053.11438581477,284.827899761975,70.8726698938247
"Hardin",1276,86,26,"OH","Rural","North West",32058,3980.28573211055,268.263771913407,81.10300081103
"Harrison",333,30,3,"CL","N Appalachia","South East",15864,2099.09228441755,189.10741301059,18.910741301059
"Henry",1207,87,29,"OH","Rural","North West",28215,4277.86638312954,308.346624136098,102.782208045366
"Highland",1306,71,18,"CL","Appalachia","South East",43589,2996.16875817293,162.885131569891,41.2948220881415
"Hocking",852,69,18,"CL","Appalachia","South East",29380,2899.9319264806,234.853641933288,61.2661674608577
"Holmes",1566,173,41,"OH","N Appalachia","South East",42366,3696.36028891092,408.346315441628,96.7757163763395
"Huron",1956,143,22,"OH","Rural","North East",59626,3280.44812665616,239.828262838359,36.896655821286
"Jackson",1365,73,13,"CL","Appalachia","South East",33225,4108.35214446953,219.714070729872,39.1271632806622
"Jefferson",1835,144,16,"OH","N Appalachia","South East",69709,2632.37171670803,206.573039349295,22.9525599276994
"Knox",1715,158,20,"OH","Rural","Central",60921,2815.12122256693,259.352275898295,32.8294020124423
"Lake",8693,334,81,"OH","Suburban","North East",230041,3778.89158889068,145.191509339639,35.2111145404515
"Lawrence",2348,205,40,"CL","Appalachia","South East",62450,3759.80784627702,328.26261008807,64.0512409927942
"Licking",6870,286,80,"OH","Suburban","Central",166492,4126.32438795858,171.780025466689,48.050356773899
"Logan",1613,90,21,"OH","Rural","Central",45858,3517.37973745039,196.2580138689,45.7935365694099
"Lorain",8589,547,116,"OH","Metro","North East",301356,2850.11746903994,181.512895047718,38.4926797541778
"Lucas",17713,1166,449,"OH","Metro","North West",441815,4009.14409877437,263.911365616831,101.626246279551
"Madison",2007,100,19,"OH","Suburban","Central",43435,4620.69759410614,230.229077932543,43.7435248071831
"Mahoning",9483,718,305,"OH","N Appalachia","North East",238823,3970.7230878098,300.641060534371,127.709642706105
"Marion",5327,222,69,"OH","Rural","Central",66501,8010.40585855852,333.829566472685,103.757838227997
"Medina",5945,281,62,"OH","Suburban","North East",172332,3449.7365550217,163.057354408932,35.9770675208319
"Meigs",534,32,12,"CL","Appalachia","South East",23770,2246.52923853597,134.623474968448,50.4838031131679
"Mercer",3261,294,64,"OH","Rural","West",40814,7989.9054246092,720.341059440388,156.808938109472
"Miami",5350,296,69,"OH","Suburban","West",102506,5219.20668058455,288.763584570659,67.3131328897821
"Monroe",448,45,22,"CL","Appalachia","South East",14642,3059.69129900287,307.335063515913,150.252697718891
"Montgomery",24893,2257,280,"OH","Metro","West",535153,4651.56693506343,421.748546677305,52.321485631212
"Morgan",408,24,15,"CL","Appalachia","South East",15054,2710.2431247509,159.426066161817,99.6412913511359
"Morrow",1175,60,2,"OH","Rural","Central",34827,3373.81916329285,172.280127487294,5.74267091624314
"Muskingum",3367,254,15,"CL","N Appalachia","South East",86074,3911.75035434626,295.094918326091,17.4268652554778
"Noble",718,53,29,"CL","Appalachia","South East",14645,4902.69716626835,361.898258791396,198.019801980198
"Ottawa",1503,105,32,"OH","Rural","North West",41428,3627.98107560104,253.451771748576,77.2424447233755
"Paulding",832,79,15,"OH","Rural","North West",19614,4241.86805343122,402.773529111859,76.4759865402264
"Perry",1137,67,14,"CL","Appalachia","South East",36058,3153.25309224028,185.811747739753,38.826335348605
"Pickaway",4484,186,50,"OH","Suburban","Central",55698,8050.55836834357,333.943768178391,89.7698301554813
"Pike",994,88,3,"CL","Appalachia","South East",28709,3462.32888641193,306.52408652339,10.4496847678428
"Portage",4626,272,77,"OH","Suburban","North East",161419,2865.83363792366,168.505566259238,47.7019433895638
"Preble",1875,155,22,"OH","Rural","West",42270,4435.77004968062,366.690324106932,52.0463685829193
"Putnam",2541,170,57,"OH","Rural","North West",34499,7365.43088205455,492.767906316125,165.222180353054
"Richland",4390,305,46,"OH","Metro","North East",124475,3526.81261297449,245.029122313718,36.9552118899377
"Ross",2872,281,66,"CL","Appalachia","South East",78064,3679.03258864521,359.961057593769,84.5460135273622
"Sandusky",1994,169,35,"OH","Rural","North West",60944,3271.85613021791,277.303754266212,57.4297715935941
"Scioto",2568,201,24,"CL","Appalachia","South East",79499,3230.22931106052,252.833368973195,30.189058981874
